Response ID,BATMAN,SUPERMAN,CAPTAIN AMERICA,WONDER WOMAN,CAPTAIN MARVEL,CATWOMAN,STORM,GREEN LANTERN,BLACK PANTHER,HAWK GIRL,SHE-HULK,IRON MAN
R_tLi1X4HhpVnrp7z,5,9,2,11,4,7,3,12,6,10,8,1
R_2WvgxSn0Ab60xyF,4,1,9,5,2,3,11,8,6,10,12,7
R_1JEDiEvwE5DYsdg,7,5,9,3,1,10,2,8,6,12,11,4
R_UbYIKexHRwL6Khr,11,8,10,6,4,5,7,1,12,3,2,9
R_2qeEBJWdazbIehm,8,9,6,5,7,,3,1,4,,,2
R_3F3X0GN3GXCqDU0,2,3,5,4,,6,,,,,,1
R_3k4AVEYSfNfUMfO,1,9,5,3,7,6,8,10,2,12,11,4
R_2QzWgs4rrzKion9,,,,,1,,,,,,,
R_2fp1cp0paGLO9P0,1,8,4,6,9,3,10,7,5,11,12,2
R_3qCgOWghuG0dtM1,1,3,2,5,10,7,9,8,6,12,11,4
R_2wQWMZjsKigOhsk,4,1,3,7,8,9,10,6,5,12,11,2
R_3JwHI8ZCgLhADuG,5,6,3,7,9,8,1,11,4,10,12,2
R_4SgTZAUfFadWyL7,4,3,2,6,8,7,12,10,5,9,11,1
R_qU5ku3TavqtoQp3,4,,2,,,,,,1,,,3
R_W9CVIeDE14V7BEl,1,4,5,11,10,,6,8,3,7,9,2
R_1oGaEvR83a6FRU5,9,11,5,1,7,6,3,12,8,2,10,4
R_2qlLbntU3DMnN5G,4,5,2,,,,,,3,,,1
R_3in9Uy385zMIvAZ,6,2,3,7,1,12,5,4,8,10,11,9
R_3mZQbrTR94DJbIn,1,2,10,5,12,4,9,6,7,8,11,3
R_8AGMvmsMWhFtGA9,7,6,9,5,2,3,12,8,4,10,11,1
R_2viE9uWEdpeZCMR,1,3,4,7,8,6,10,9,5,12,11,2
R_1kN6yvmYdkpV1RY,1,4,8,6,12,2,7,3,10,9,5,11
R_3nIbf0fcxV0Zvo1,2,3,4,5,8,,,6,7,,,1
R_Ybli9NfW0MOR8Vb,3,8,2,1,10,5,9,7,4,12,6,11
R_29hqdZTZx9LrdPe,5,12,7,2,4,9,8,11,1,10,6,3
R_33qEBASXcQeMFbX,3,8,7,1,12,6,5,9,2,11,10,4
R_UQPn8GphI8swFTX,5,4,2,3,,,,,,,,1
R_1okau9j3XLgRrph,10,11,9,4,1,3,5,12,2,8,6,7
R_1CCoHKWd3WoD6oQ,9,5,6,10,1,12,8,4,11,3,2,7
R_AsNvVW0FsANjiQp,1,6,4,7,8,2,10,11,5,9,12,3
R_p6RCyisFeXoBN73,2,5,4,10,7,3,9,6,1,12,11,8
R_32McAR6ehxOoQsQ,8,7,6,1,2,10,11,9,4,5,3,12
R_1I4vaxoXW83pryP,1,10,4,7,11,9,5,3,8,12,6,2
R_3dFhTJr7YspgjoM,1,,,2,,,,5,,6,4,3
R_1CeXiUvwZxolrOe,10,12,1,3,11,6,7,8,2,4,5,9
R_1OPRbkpkJk7is7e,2,5,3,11,12,10,7,6,1,9,8,4
R_1DGxQk28u5BCKd2,2,6,5,8,9,7,10,4,3,12,11,1
R_2SudmzHQ1JK1wb4,1,,,,,,,,,,,
R_1pArrtWDIv9NUJM,8,9,4,3,,2,1,6,5,,,7
R_3KH4rEeibMSmTJq,3,2,5,8,6,7,9,10,1,12,11,4
R_A5JaxJitgfxyevn,3,6,1,4,8,12,10,9,5,11,7,2
R_3m4WyzvDZ4ky8oS,2,4,3,,,,6,5,,,,1
R_6fKLouxeDCA3dcJ,3,6,1,4,7,8,11,9,5,12,10,2
R_30qQUh3xa6vK7Ii,1,4,5,2,10,12,9,11,7,6,8,3
R_2xymK4BvIjnZgvI,5,6,3,4,8,2,11,12,7,10,9,1
R_2t0dQE3G9AebniH,5,7,1,4,9,6,8,11,3,10,12,2
R_3OkKbNYnnrhffvm,1,5,3,7,12,8,9,4,6,11,10,2
R_1Kxu5S65hU3QaCZ,11,2,6,3,7,8,5,10,4,12,9,1
R_3MlmH7WEtZc2o8U,5,2,6,1,7,4,3,,,,,8
R_6xwpcuxwmvQGrip,5,8,10,1,9,3,2,11,7,4,6,12
R_325ilbpyxrPYrmq,1,2,,,,,,4,,,,3
R_s5xjTUwCKKle7E5,1,2,7,6,10,3,11,12,4,9,8,5
R_2DXQbVbMs9cgEbY,1,,,,,,,,,,,
R_324N5EQyJ1ALZ58,7,5,6,8,3,10,4,9,2,12,11,1
R_ZslBHaLsod0bBZf,2,3,,4,,,5,,,,,1
R_2ZDN55UAvuFbCrY,7,6,3,2,5,12,8,9,4,10,11,1
R_3qaqfGwNW76q9m3,8,5,4,9,6,2,11,3,12,7,1,10
R_2QDj49JoUJQoMxG,3,8,1,12,10,11,6,2,5,9,4,7
R_3iW2vnvGht7htT6,4,6,1,3,8,,2,,7,,,5
R_BWm2FcJwIb16l2x,1,5,3,2,12,9,11,8,6,7,10,4
R_2BrP8BrBgtkpJr0,5,6,2,8,4,9,10,7,3,11,12,1
R_3rMu0Xvqc8RCzZj,3,8,2,10,5,12,4,7,6,11,9,1
R_1M3uP8engztOM8r,6,3,4,8,5,10,9,7,1,,,2
R_3IXIylYpjcgh4aR,6,4,3,7,2,9,12,10,5,8,11,1
R_qOAupx4TkcWlGV3,3,1,2,9,10,,8,5,6,,7,4
R_3MrtdOWs7dl7Onk,9,10,7,3,4,11,1,6,5,2,12,8
R_2SuBReXMn6J4kQU,5,4,3,8,7,9,6,12,2,10,11,1
R_3q9FGOEsb4xpBry,4,7,2,5,11,6,12,10,1,9,8,3
R_3e8DyxbmnlegiF9,1,11,12,3,4,7,5,6,8,10,9,2
R_3PdlNL43wxFKWaB,1,3,2,7,6,12,10,9,4,11,8,5
R_1I749GFOwmAG8o2,4,1,6,9,10,7,2,8,3,12,11,5
R_3HYT3ltkCv511oc,4,10,1,5,7,9,2,3,8,11,12,6
R_2zviW8dPkuZ8ehy,10,3,4,7,6,8,11,12,2,9,5,1
R_1OMDz7E6cPIv2zM,10,1,8,9,6,5,4,7,12,2,3,11
R_2SvsscBEfRU1aYR,3,1,4,8,9,12,11,5,6,7,10,2
R_1EgsCQk4evTHPll,4,5,2,9,8,10,7,6,1,12,11,3
R_DTQlhhjHApowJZn,2,6,3,7,10,8,5,12,4,9,11,1
R_xzqkeGnkMu6S9KV,2,4,6,,11,9,7,5,1,10,8,3
R_wXKbzkrLGRj4DXr,1,5,3,8,9,6,2,10,4,12,11,7
R_2tsp5z6GHgbK6Nk,11,8,7,9,3,5,4,6,2,12,10,1
R_27ONJ1HvOUJ5QBU,6,5,4,10,1,9,3,8,11,7,12,2
R_1IRdHJmi8IVnQRZ,2,6,3,8,10,5,9,1,7,11,12,4
R_2YJx7IcpTGCCOYT,2,6,10,7,5,8,3,9,4,11,12,1
R_3fVkBBphjaI0nv0,6,5,2,8,4,11,7,10,3,12,9,1
R_27qZfTWWpjriRZt,1,4,9,7,12,10,6,3,8,5,11,2
R_2QoBcPQLfB8C7RU,11,9,3,2,5,6,7,12,4,8,10,1
R_2wBpaGNk5Ito2BY,3,1,2,8,10,6,11,5,7,12,9,4
R_3O1xDlP04JSdn8Y,3,7,9,5,10,2,6,4,8,12,11,1
R_1obwAavg9GdasMU,5,6,3,8,12,10,4,7,11,9,2,1
R_3lPjDzOT5CVIpfK,8,3,5,9,2,6,1,,,7,,4
R_3dT9y8vYhrvfuz2,,,2,5,,4,6,,3,,,1
R_3nkj3S4Nor81nkB,12,4,1,5,7,8,6,9,2,10,11,3
R_3Ra6ETKUrqCrlp3,4,1,2,12,9,6,10,11,8,5,7,3
R_6MrFspVpouB3Z29,11,8,7,9,1,6,2,5,10,4,3,12
R_32X8jwhXKUUU7AY,4,5,1,6,7,11,9,8,3,10,12,2
R_3EiOJwKY3purpdO,11,4,7,8,12,2,6,9,5,1,10,3
R_2c8Fq97iElDxHjR,1,2,3,6,8,9,11,7,4,10,12,5
R_1NCz5ap4ACnpDyo,11,5,4,9,6,10,8,12,2,7,3,1
R_3MaPI4owr4AY03j,11,5,12,10,2,7,4,6,3,8,1,9
R_3ekS4VNOQD45pYE,5,10,1,7,3,6,11,12,2,8,9,4
R_2SlAIvUNqfhOds2,5,10,7,3,4,2,11,8,6,1,12,9
R_3nGczDr5PJxHewJ,9,8,10,7,6,2,3,5,12,1,4,11
R_2e4KsFQVlzKauLe,5,3,1,6,9,11,8,7,4,10,12,2
R_2e4FxtnGGVXXIHH,4,5,2,10,9,7,8,6,3,11,,1
R_29oigRrwS17cZWC,5,1,2,3,9,11,6,7,8,10,12,4
R_2YG4jHqM6YR3CGL,4,8,2,5,7,9,10,6,3,11,12,1
R_2D2klpPnbogGZSq,2,4,5,1,8,3,9,11,7,12,10,6
R_24Ga901F88Pv1qX,9,7,1,4,6,10,12,11,2,8,5,3
R_1jlHaIM6qpRaeGs,3,5,4,7,6,11,9,8,2,10,12,1
R_1Dulie6sa5JkcC9,5,7,8,1,2,9,6,12,4,11,10,3
R_24PnHMK6TfUjhmK,4,2,5,6,12,9,8,7,3,11,10,1
R_8j3oDeRnK8IOo3D,12,1,10,4,7,11,3,5,6,8,9,2
R_1IsfoyL8HQZYZmK,2,12,9,7,10,11,4,3,1,6,5,8
R_3OdM7A7tO2YeKd3,1,4,3,7,11,12,10,6,5,8,9,2
R_qOCQKgSD1irkuPf,7,11,1,10,12,3,4,8,2,6,5,9
R_3JdV1kwgoNf4cFr,6,11,7,8,12,9,1,2,4,5,10,3
R_3Pk4jnRxYS9oL9b,1,3,2,,,,,,,,,
R_3hzMyo209ErBASG,9,7,6,3,1,4,5,11,2,10,8,12
R_3kaZSuikyzJzJiy,10,12,4,11,5,1,8,9,6,2,3,7
R_cA88Wk06IcxX5DP,8,3,4,5,2,7,11,10,6,9,12,1
R_BymXAESwjNhGUlr,1,3,7,2,8,9,11,4,6,10,12,5
R_3nPKP9y6F1MvvON,5,3,4,9,12,11,6,1,7,10,8,2
R_1LilE05nFJ7NvRa,6,1,7,4,3,12,5,10,8,11,9,2
R_3EDLh5FMvMhAG8k,1,4,3,5,,,,,6,,,2
R_1HdybrHOWDlKcO4,3,12,4,6,8,2,9,11,5,7,10,1
R_11hmv9rV7jHIHWh,2,6,4,7,11,8,5,10,3,12,9,1
R_1H8DKUzqMuAtQbN,1,2,3,7,9,5,12,6,8,10,11,4
R_3JdQBJfpkXfHw2s,2,1,3,4,11,7,10,6,8,9,12,5
R_29oxCKNKj3lfDrj,1,2,6,3,12,8,10,7,9,5,11,4
R_xbJQIzhDVItyNnr,5,9,7,,2,,4,3,1,10,8,6
R_1GZbGrHhqVitK9R,4,7,1,6,5,8,12,10,3,11,9,2
R_2ATPEhmpGSuLHXp,5,7,4,2,6,9,8,11,3,10,12,1
R_1FskOAZAbrSgZGK,4,5,2,3,9,7,11,12,6,10,8,1
R_5hXnXYaFaxdehZD,2,4,9,5,12,8,10,6,3,11,7,1
R_3rM3gJkU6Eh8aND,1,2,6,8,11,4,9,3,7,12,10,5
R_12G5RNcDxiwieRc,1,2,10,3,12,7,5,8,4,11,9,6
R_1NxcQ8OSnPWldeX,2,4,5,,,,,,3,,,1
R_Zmcm8eP9RQgiNkB,12,10,5,9,3,7,2,11,1,4,8,6
R_1gFvKdnYOdWbhXq,3,8,9,7,6,2,1,5,4,12,10,11
R_2QroecIWKX1lPhs,10,9,11,2,1,7,5,8,6,4,3,12
R_21ETlxdwyMGV6tf,4,7,3,6,8,9,1,10,5,11,12,2
R_1eJhlGzzJi0sVGw,6,4,5,1,8,10,9,7,3,11,12,2
R_31KNRs9FV16xmor,10,11,8,7,6,4,3,1,9,5,2,12
R_zdSoqijzS66YOAN,1,8,6,3,9,10,11,7,4,12,2,5
R_1hNnnAvGtK9lcnG,5,12,7,4,2,10,6,8,1,11,9,3
R_2ffcsy1YwBVlpBS,1,2,4,6,12,7,10,8,5,9,11,3
R_1jm6lrkVtgWS7HK,3,6,12,2,9,10,8,7,4,11,5,1
R_3GjJBB6guXlnjCs,6,8,2,7,9,10,3,4,5,12,11,1
R_25LpOAxVFpZa6ru,1,6,3,5,8,4,12,10,7,11,9,2
R_1n6d1ibzO2RR9cy,3,7,2,6,9,11,8,5,4,10,12,1
R_3s6xNvqRTXxx0g8,10,12,4,8,11,5,6,2,3,7,9,1
R_3dS9vzlnCLWxpBF,7,12,4,10,2,5,8,11,1,6,9,3
R_3e2mwrMmAuUR41U,1,2,3,6,12,10,11,5,7,8,9,4
R_3ETlLqTDZvludiF,1,5,2,8,12,11,10,6,4,9,7,3
R_2uxUpS88JgSuf6h,1,6,2,9,7,10,4,5,8,11,12,3
R_1EWrrzI6iictcC1,7,4,3,6,2,9,10,11,5,12,8,1
R_29mlT2K7xSsQ8gj,4,2,8,7,3,9,10,6,5,12,11,1
R_3n64UHJe6mooPpj,5,2,3,7,12,11,10,6,1,4,9,8
R_1ltagS9OlnpER7u,10,9,11,5,1,3,2,12,8,6,4,7
R_1pJul8yV7E1quUD,1,4,6,7,,,8,5,3,,,2
R_3D1R4b8Uw88czI8,3,7,10,8,12,9,4,11,2,5,6,1
R_AyWfpO8IqaM5OPT,12,6,8,2,7,3,10,9,5,11,4,1
R_yjPN3G4pINBnc5j,3,6,4,5,7,8,10,9,1,11,12,2
R_1B6WXB7P5nNtZmx,1,6,3,11,2,12,10,9,4,5,8,7
R_Y6sxyL77TurcvWp,3,4,5,6,9,10,8,7,2,12,11,1
R_1ONv0copx26qOLP,1,8,7,11,12,9,10,5,2,4,6,3
R_24PmxRmhS8KYC1r,6,8,3,5,11,7,4,9,2,12,10,1
R_3LjVz29EFETMBL5,1,6,5,11,12,7,8,4,3,10,9,2
R_2TnHtpBDi7jbZPT,4,2,5,6,7,9,10,8,3,11,12,1
R_3dY41WBk1B5m2lM,6,5,3,1,10,2,11,7,12,8,9,4
R_1GZVwtb6ppdag0h,7,5,4,1,6,,,,2,,,3
R_1DTKBO7RjSFTJJo,5,6,7,1,9,2,10,8,12,11,4,3
R_33qDhXAAkYvpYcu,1,4,3,10,12,6,8,9,5,11,7,2
R_3UURn8ziX6S4Qi5,6,10,5,3,11,9,7,2,4,8,12,1
R_1pW3kCLGRlKzjM0,5,3,6,1,11,8,12,7,4,10,9,2
R_bPpouMX9Rz7edMZ,5,3,4,6,9,10,7,11,2,12,8,1
R_XHaDCfPw4pN2sxz,4,6,9,10,8,5,1,2,7,12,11,3
R_s6Gq3UMMWJU5nwt,3,4,5,7,6,11,8,9,2,10,12,1
R_3G7cJ9sHDRaUZcx,1,4,3,,,,,,2,,,5
R_szlgHmvTk0vp0w9,12,11,9,3,7,5,4,6,2,8,10,1
R_3JflF6uvWqaDRJn,5,3,1,10,4,8,11,12,9,7,6,2
R_3oSkACC57NXVNPK,,,,,,,,,,,,
R_1IhYzUKOzSGsEMX,,,,,,,,,,,,
R_2fkrcB4pjBtdJHK,,,,,,,,,,,,
R_3R7VJazmbRrj6Jm,,,,,,,,,,,,
R_R7XoZjE3npEKj3X,,,,,,,,,,,,
R_puE5aT38IX68hPj,,,,,,,,,,,,
R_3G2qTve1DNCxOpD,,,,,,,,,,,,
R_2S9byhdYq1h6bTX,,,,,,,,,,,,
R_1IhgoLXJxtO6Tt7,,,,,,,,,,,,
R_3EcJ6a69sapKBYi,,,,,,,,,,,,
R_OOKskUJlwn3cffz,,,,,,,,,,,,
R_29ghB4nK06ykFl3,,,,,,,,,,,,
R_2TZPjNcPoat8mPs,,,,,,,,,,,,
R_yC2DArKaVIK0XwB,,,,,,,,,,,,
R_XFnySEvPW4T161P,,,,,,,,,,,,
R_3iFn7DHYY07LUWl,,,,,,,,,,,,
R_ZpGeghVVW0zwFHP,,,,,,,,,,,,
R_xgftigYE95OGAH7,,,,,,,,,,,,
R_AKHzOgWdSfUp8el,,,,,,,,,,,,
R_79AtSVrNzaFS3PH,,,,,,,,,,,,
R_3lPOFxf6BrPHBQ5,,,,,,,,,,,,
R_VRm2r1Y6Y3yBAGt,,,,,,,,,,,,
R_DibmweqkWKiRzfb,,,,,,,,,,,,
R_zTFjyfezqnC5xn3,,,,,,,,,,,,
R_3fK3w4SpbkbN5Rv,,,,,,,,,,,,
R_1Q3O6sX5wHB7pV3,,,,,,,,,,,,
R_2qy1cD748z4tQwD,,,,,,,,,,,,
R_yD3J1GFnwwbK72p,,,,,,,,,,,,
R_56f4234GSX8izV7,,,,,,,,,,,,
R_2aK0ENuWdDdKxp2,,,,,,,,,,,,
R_4Pfp0SYxuxnO3HX,,,,,,,,,,,,
R_3HzsnZ6evOca8Nb,,,,,,,,,,,,
R_UsSVvTAAZYYzKq5,,,,,,,,,,,,
R_z87xqxuvMcDl5Dz,,,,,,,,,,,,
R_27EuNS4oOwFIzl2,,,,,,,,,,,,
R_3symm0AFFPB4lMP,,,,,,,,,,,,
R_sHWWf9YjfuF4XeN,,,,,,,,,,,,
R_4UAgJBsOZdI9epj,,,,,,,,,,,,
R_20T1qN84AER35jb,,,,,,,,,,,,
R_1g5bIwqjg60igal,,,,,,,,,,,,
R_rqCexfkZUnwGNdT,,,,,,,,,,,,
R_2EiAylB5NDpEOEf,,,,,,,,,,,,
R_1DOncUOnWOcQKYb,,,,,,,,,,,,
R_27TGGy1t2Rg0Ifd,,,,,,,,,,,,
R_1puHQz8jOCrRWyp,,,,,,,,,,,,
R_3hfF9G5YXbbeh10,,,,,,,,,,,,
R_3PXN4ggEoLHqD16,,,,,,,,,,,,
R_3D0FYJ78qwh3Snv,,,,,,,,,,,,
R_11aOFNOis4feUPy,,,,,,,,,,,,
R_2U63mfcTUlW4qaM,,,,,,,,,,,,
R_1Q9sKIjDvBb8Z0D,,,,,,,,,,,,
R_12aI4D40pNKpsUA,,,,,,,,,,,,
R_2YJo36tesibWcKm,,,,,,,,,,,,
R_1oIwVRGb3X92Qfn,,,,,,,,,,,,
R_1Pc7yZ9IT87XEZX,,,,,,,,,,,,
R_21v1RetZ9LRvVdq,,,,,,,,,,,,
R_3hlHAHd1UXXixlM,,,,,,,,,,,,
R_pireF5IRn7Rc1FL,,,,,,,,,,,,
R_3MQGwOUgPqShIaO,,,,,,,,,,,,
R_3Gk4052Ye6e1zem,,,,,,,,,,,,
R_1gjRu4AaxE5qtgU,,,,,,,,,,,,
R_22LGNgGIx4uVUry,,,,,,,,,,,,
R_dpChiX1ZC4vTVEB,5,4,10,1,2,6,9,7,3,11,12,8
R_3GqyCC0XgPC5Liu,,,,5,3,1,,,2,,4,
R_3qHYSmD3LVYO29w,2,6,1,4,9,7,10,11,5,12,8,3
R_324pWVIXmuBkP97,8,1,5,3,4,7,9,10,2,11,12,6
R_1me2lnyffogO978,4,6,1,8,5,9,10,7,3,11,12,2
R_2SeKZQsF0YZPhpJ,6,8,3,4,7,12,5,10,1,11,9,2
R_24uS6PEWoNxyv9B,9,8,3,4,1,7,6,12,5,11,10,2
R_1IBhT7MPXHEWqZ1,4,1,3,2,11,12,10,9,6,7,5,8
R_R9AyEoVTo1cIASd,6,7,2,5,4,8,11,10,3,9,12,1
R_2D0LcRx1JJ6I3OJ,8,2,5,3,6,10,4,11,7,12,9,1
R_wMIciHrIfijnvkB,4,7,3,8,12,2,11,1,10,9,6,5
R_2f2rlr2isl9Jpv3,5,4,3,6,11,7,8,12,1,10,9,2
R_31us9BicN3vQvIN,,,,,,1,,,,,,
R_3J9K7HkzU28MO61,,,,,,,,,,,,
R_2bZuhbddGUurwSQ,,,,,,,,,,,,
R_1FzIM0KSxuXEuik,,,,,,,,,,,,
R_1P6EQDQ0pI5GSHo,,,,,,,,,,,,
R_3J1SjzPl29BG4YT,,,,,,,,,,,,
R_dd5fzpo9SqOXkWd,,,,,,,,,,,,
R_3QKsCZR8E15DZXT,,,,,,,,,,,,
R_265XlrkvSFbmwLT,10,8,7,2,5,3,4,6,1,12,11,9
R_3k57zkpzb21NdyP,3,2,5,6,11,12,9,7,4,10,8,1
R_2frE2mrk8sb9dAl,12,4,2,6,8,1,3,11,9,5,10,7
R_1gzNsg4wEde0xua,7,5,3,8,9,10,6,12,2,11,4,1
R_OJ800H6hvG5dSzT,,4,1,3,,,5,,,,,2
R_rd8WozBMmtIWzJL,2,3,9,5,4,12,10,8,6,7,11,1
R_yyJM8nKqTa7jvHP,9,8,3,7,4,11,5,2,1,10,12,6
R_REn5UweGWbJfDCF,8,11,10,4,3,5,1,12,7,6,2,9
R_ZEKHwJZipo69GTv,8,9,7,2,3,5,12,11,1,10,6,4
R_2ya3X5K6EFWQRTR,8,3,2,6,10,4,12,7,5,11,9,1
R_1K8aoEDSVKC2pDp,1,11,9,2,12,6,7,3,10,5,8,4
R_3jVQvKu22COQQOw,5,4,6,3,9,7,10,11,2,12,8,1
R_1DSYdFcFcUhwqDj,2,4,1,6,7,3,11,8,5,10,12,9
R_2PtWpbF6Rd7rgVu,1,12,9,7,10,2,5,3,4,8,11,6
R_32USp60sG4ynqSt,7,6,12,11,2,5,9,3,4,8,10,1
R_1jdNbGYzaS5sgvI,6,12,1,3,4,5,10,11,2,8,9,7
R_2xVHUOAqdRUA0ep,3,6,7,1,,4,,2,,,,5
R_1E6bZWPMpaECfPQ,1,4,5,7,11,9,8,6,3,10,,2
R_WdMDcSmi6oFQIdH,5,10,2,7,3,8,12,11,4,6,9,1
R_3hb9HHgoZ3tpgiX,8,5,2,1,3,11,4,9,6,12,10,7
R_2zZqJzN5vHnRoUU,1,3,4,7,6,8,12,11,5,9,10,2
R_2UYjhfgWVLcx5Et,1,4,5,9,11,2,10,3,6,12,8,7
R_2B9h6HVIjXCD0Ve,12,4,7,5,3,8,6,10,1,11,9,2
R_RsGHOsHAfhj3ty9,,4,2,,,,1,3,,,,
R_2qCTXzN62ltnHnm,,,2,,,,,,3,,,1
R_3EBbYXqFZDFLO1J,1,9,4,5,11,6,7,8,3,12,10,2
R_eKwLmOuFGDuaSc1,1,6,5,9,7,4,8,11,3,12,10,2
R_1roZf0mUsgjFtP9,1,5,4,3,7,11,10,6,8,9,12,2
R_cNQkS4hkO79Qw9P,8,7,5,2,3,10,9,11,4,12,6,1
R_3EnxpvhuYB7TKyL,1,6,4,3,9,5,7,11,8,10,12,2
R_3EgKvLPBznLfELn,,,,,,,1,,,,,
R_1KwezWhaB0cObB4,1,5,4,8,9,6,10,7,3,12,11,2
R_1q36v4oAkMpQgBt,11,5,9,7,1,3,8,6,10,4,2,12
R_1guAjPzVgsXxNrA,4,5,1,6,8,11,10,12,3,7,9,2
R_1otgWJJZMnrgEfW,7,12,5,4,8,10,3,2,1,11,9,6
R_DVjmVgWqdPpKq8p,12,3,4,1,7,8,6,11,2,9,10,5
R_3CTuyPIZ9IGYq3O,5,,2,,4,,,,3,,,1
R_2azUOLFYEVUIjJO,1,6,2,4,12,8,11,3,5,9,10,7
R_sAvJbQyqsXhjvk5,4,5,3,11,12,8,7,6,1,9,10,2
R_2dT259ZCq6DgLFQ,1,8,5,3,4,9,7,10,6,,,2
R_2alyWv5j6oDNojn,2,4,7,9,12,6,5,3,8,11,10,1
R_UGDDw2GXDfZxBrH,12,7,6,8,9,11,4,3,2,10,5,1
R_2rAz9SFFgydiCAN,1,4,3,7,12,8,9,5,6,11,10,2
R_3NCgbJDG4KTffYe,4,5,1,6,11,9,7,8,3,12,10,2
R_3pfru2DWUCM3IcF,2,5,6,8,11,4,9,7,3,12,10,1
R_1dKBu8DRFOXU795,9,11,12,1,6,2,5,7,8,3,4,10
R_eEsS7wQPXNruA8h,3,2,6,1,9,7,10,4,5,12,8,11
R_31TreIfEXSshG6W,5,1,3,11,10,2,8,6,9,12,7,4
R_4VAWmqpsQN4HwFX,4,3,2,7,11,10,6,5,9,12,8,1
R_1CBK0ongX6D4SVZ,3,,,2,,,4,,1,,,
R_3KoNsSALDcdX7K1,1,4,2,8,10,12,5,3,7,11,9,6
R_3jVDmFY6wPejDSv,6,2,5,8,7,11,9,3,4,10,12,1
R_2xPKfhWON9rIu40,1,4,7,6,,,,5,3,,,2
R_1H7R366h4PscrzE,4,5,2,6,10,11,9,8,1,7,12,3
R_3MANpTWX3e8vogs,1,5,4,8,9,10,7,6,2,12,11,3
R_21cDLVJ870VQpku,2,5,3,9,4,7,10,12,6,11,8,1
R_6uqEXu2IngUgIRH,5,3,10,11,2,1,8,7,6,12,9,4
R_2YhMU8Mp04XTU4x,1,5,4,3,10,8,12,2,7,9,11,6
R_1JDPTBpGkXKXcds,5,6,7,4,1,11,9,8,3,12,10,2
R_WqhkLq0UdvWpmk9,4,2,7,5,12,6,9,11,3,10,8,1
R_3s62XJnAYhUG8gz,3,9,5,6,7,8,,4,1,,,2
R_3D1mzlsaKX7bDEX,2,,,,,,,,,,,1
R_24l2Uo5Gf0hrW9R,10,12,8,3,2,6,1,11,9,5,4,7
